name,tf_idf_tags_033,033_correct tags,033_sum(tags),tf_idf_tags_050,060_correct tags,060_sum(tags),tf_idf_tags_060,060_correct tags,060_sum(tags),tf_idf_tags_080,080_correct tags,080_sum(tags),hierarchical_cluster_tags,hier_correct_tags,hier_sum_tags,,,,
Service Fabric Reverse Proxy,",service,reverse,proxy,fabric,running",,,",service,reverse,proxy,fabric,running",,,",service,reverse,proxy,fabric,running",,,",service,reverse,proxy,fabric,running",,,",mage,ci",,,,,,
clefos,",build,clefos",,,",build,clefos",,,",build,clefos",,,",build,clefos",,,",build,ui",,,,,,
silverpeas,",opensource,portal,silverpeas,turnkey,collaborative,socialnetworking",,,",opensource,portal,silverpeas,turnkey,collaborative,socialnetworking",,,",opensource,portal,silverpeas,turnkey,collaborative,socialnetworking",,,",portal,silverpeas,turnkey,collaborative,socialnetworking",,,",open,source",,,,,,
Oryx node-8.11,",nodejs,host,built,web,artifacts,entry,point,811",,,",nodejs,host,built,artifacts,entry,point,811",,,",811",,,",811",,,",web,host,artifacts,entry,point.,nodejs,os,ui,node,js",,,,,,
erlang,",erlang,programming,language,build,massively,scalable,systems,availability",,,",erlang,programming,language,build,massively,scalable,systems,availability",,,",erlang,programming,build,massively,scalable,systems,availability",,,",erlang,massively,systems,availability",,,",build,ui",,,,,,
ASP.NET Core Runtime,",core,aspnet,runtime",,,",core,aspnet,runtime",,,",core,aspnet,runtime",,,",core,aspnet,runtime",,,",mage,ci",,,,,,
perl,",programming,language,dynamic,generalpurpose,interpreted,perl,highlevel",,,",programming,language,dynamic,generalpurpose,interpreted,perl,highlevel",,,",programming,language,dynamic,generalpurpose,interpreted,perl,highlevel",,,",dynamic,generalpurpose,interpreted,perl,highlevel",,,",programming,language",,,,,,
Azure Functions Dotnet,",azure,functions,dotnet",,,",azure,functions,dotnet",,,",azure,functions,dotnet",,,",azure,functions,dotnet",,,",mage,ci",,,,,,
Skaffolder Enterprise,",languages,programming,code,apps,tool,codegenerator,companies,create,custom,highquality",,,",languages,code,apps,codegenerator,companies,create,custom,highquality",,,",languages,codegenerator,companies,create,custom,highquality",,,,,,",programming,language",,,,,,
haproxy,",load,balancer,reliable,performance,haproxy,tcp/http",,,",load,balancer,reliable,performance,haproxy,tcp/http",,,",load,balancer,reliable,performance,haproxy,tcp/http",,,",load,balancer,reliable,performance,haproxy,tcp/http",,,",scalable,reliable,able",,,,,,
Azure ML,",learning,service,azure,machine",,,",learning,service,azure,machine",,,",learning,service,azure,machine",,,",learning,service,machine",,,",mage,ci",,,,,,
Presidio Analyzer,",presidio,analyzer",,,",presidio,analyzer",,,",presidio,analyzer",,,",presidio,analyzer",,,\N,,,,,,
Oracle Coherence,",oracle,coherence",,,",oracle,coherence",,,",oracle,coherence",,,",oracle,coherence",,,\N,,,,,,
PX-Enterprise,",cloud,native,storage",,,",cloud,native,storage",,,",cloud,native,storage",,,",cloud,native,storage",,,\N,,,,,,
Businesscentral Sandbox,",business,sandbox",,,",business,sandbox",,,",business,sandbox",,,",business,sandbox",,,",box",,,,,,
eclipse-mosquitto,",mqtt,eclipse,mosquitto,message,broker,implements,version,5,311,31",,,",mqtt,eclipse,mosquitto,message,broker,implements,version,5,311,31",,,",mqtt,eclipse,mosquitto,message,broker,implements,5,311,31",,,,,,",open,source",,,,,,
Azure Industrial OPC Onboarding microservice,",microservice,contains,opc,ua,onboarding",,,",microservice,contains,opc,ua,onboarding",,,",microservice,contains,opc,ua,onboarding",,,",microservice,contains,opc,ua,onboarding",,,",os,ros",,,,,,
ThingsBoard Professional Edition MQTT Transport Microservice,",microservice,gateway,apis,thingsboard,pe,mqtt,transport,device,based,protocol",,,",microservice,gateway,apis,thingsboard,pe,mqtt,transport,device,based,protocol",,,",gateway,apis,thingsboard,pe,mqtt,transport,device,protocol",,,",mqtt",,,",os,ros",,,,,,
.NET Core Runtime (Preview),",core,net,runtime,preview",,,",core,net,runtime,preview",,,",core,net,runtime,preview",,,",core,net,runtime,preview",,,",mage,ci",,,,,,
Presidio Scheduler,",presidio,scheduler",,,",presidio,scheduler",,,",presidio,scheduler",,,",presidio,scheduler",,,\N,,,,,,
TestArchitect,",language,written,automation,testarchitect,components,execute,webservices,tests,abt",,,",language,written,automation,testarchitect,components,execute,webservices,tests,abt",,,",written,automation,testarchitect,components,execute,webservices,tests,abt",,,",automation,testarchitect,components,execute,webservices,tests,abt",,,",web,host,artifacts,entry,point.,nodejs,os,ui,node,js",,,,,,
mcrdemoproductfamilies,",samples,mcr",,,",samples,mcr",,,",samples,mcr",,,",samples,mcr",,,\N,,,,,,
Heartbeat,",lightweight,shipper,uptime,monitoring",,,",lightweight,shipper,uptime,monitoring",,,",lightweight,shipper,uptime,monitoring",,,",lightweight,shipper,uptime,monitoring",,,",shipper,ship,ip",,,,,,
open-liberty,",open,liberty",,,",open,liberty",,,",open,liberty",,,",open,liberty",,,",mage,ci",,,,,,
.NET Framework SDK,",net,framework,sdk",,,",net,framework,sdk",,,",net,framework,sdk",,,",net,framework,sdk",,,",mage,ci",,,,,,
Oryx node-10.12,",nodejs,host,built,web,artifacts,entry,point,1012",,,",nodejs,host,built,artifacts,entry,point,1012",,,",1012",,,",1012",,,",web,host,artifacts,entry,point.,nodejs,os,ui,node,js",,,,,,
notary,",server,distribution,notary,signer,cooperatively,handle,signing,repositories",,,",distribution,notary,signer,cooperatively,handle,signing,repositories",,,",distribution,notary,signer,cooperatively,handle,signing,repositories",,,",notary,signer,cooperatively,handle,signing,repositories",,,",os,ros",,,,,,
tomee,",apache,tomcat,java,ee,tomee,allapache,certified,stack,dog",,,",apache,tomcat,java,ee,tomee,allapache,certified,stack,dog",,,",apache,tomcat,java,ee,tomee,allapache,certified,stack,dog",,,",apache,tomcat,ee,tomee,allapache,certified,stack,dog",,,",-",,,,,,
.NET Framework Samples,",applications,sample,net,framework,aspnet,illustrating,containerize,wcf",,,",applications,sample,net,framework,aspnet,illustrating,containerize,wcf",,,",sample,net,framework,aspnet,illustrating,containerize,wcf",,,",illustrating,containerize,wcf",,,",application,app",,,,,,
django,",free,web,framework,python,application,written,django",,,",free,web,framework,python,application,written,django",,,",free,framework,python,application,written,django",,,",python,django",,,",application,app",,,,,,
.NET Core Runtime Dependencies (Preview),",core,net,runtime,preview,dependencies",,,",core,net,runtime,preview,dependencies",,,",core,net,runtime,preview,dependencies",,,",core,net,runtime,preview,dependencies",,,\N,,,,,,
mysql,",database,opensource,management,mysql,relational,rdbms",,,",database,opensource,management,mysql,relational,rdbms",,,",database,opensource,management,mysql,relational,rdbms",,,",management,mysql,relational,rdbms",,,",data,base,database",,,,,,
golang,",programming,language,golang,purpose,higherlevel,imperative",,,",programming,language,golang,purpose,higherlevel,imperative",,,",programming,language,golang,purpose,higherlevel,imperative",,,",programming,golang,purpose,higherlevel,imperative",,,",programming,language",,,,,,
Azure IoT Edge Dev Container,",edge,azure,iot,dev,started,development",,,",edge,iot,dev,started,development",,,",edge,iot,dev,started,development",,,",edge,iot,dev,started,development",,,",ai",,,,,,
Azure Oss Db Tools Pgbouncer Sidecar,",postgresql,kubernetes,azure,db,dockerized,pgbouncer,serivce",,,",postgresql,kubernetes,azure,db,dockerized,pgbouncer,serivce",,,",postgresql,kubernetes,azure,db,dockerized,pgbouncer,serivce",,,",postgresql,azure,db,dockerized,pgbouncer,serivce",,,",os,ros",,,,,,
IoT Edge OPC UA PLC,",server,data,opc,ua,generating,nodes,random,anomalies",,,",data,opc,ua,generating,nodes,random,anomalies",,,",data,opc,ua,generating,nodes,random,anomalies",,,",data,generating,nodes,random,anomalies",,,",data",,,,,,
websphere-liberty,",ibm,server,application,websphere,developers,liberty",,,",ibm,server,application,websphere,developers,liberty",,,",ibm,server,application,websphere,developers,liberty",,,",ibm,websphere,developers,liberty",,,",mage,ci",,,,,,
Oryx images,",base,build,product,family,runtime,oryx",,,",base,build,product,family,runtime,oryx",,,",base,build,product,family,runtime,oryx",,,",build,product,family,runtime,oryx",,,",mage,ci",,,,,,
adoptopenjdk,",built,openjdk,hotspot,eclipse,openj9,binaries,adoptopenjdk",,,",built,openjdk,hotspot,eclipse,openj9,binaries,adoptopenjdk",,,",openjdk,hotspot,eclipse,openj9,binaries,adoptopenjdk",,,",openjdk,hotspot,eclipse,openj9,binaries,adoptopenjdk",,,",mage,ci",,,,,,
Software AG Adabas Manager CE,",adabasmanagerce",,,",adabasmanagerce",,,",adabasmanagerce",,,",adabasmanagerce",,,\N,,,,,,
Mcr Hello World Nireis,",testing,mcr,customer",,,",testing,mcr,customer",,,",testing,mcr,customer",,,",testing,mcr,customer",,,",customer,custom",,,,,,
InterSystems IRIS for Health,",data,platform,health,intersystems,iris,healthcare",,,",data,platform,health,intersystems,iris,healthcare",,,",data,platform,health,intersystems,iris,healthcare",,,",health,intersystems,iris,healthcare",,,",native,alt",,,,,,
rails,",opensource,ruby,web,framework,application,written,rails",,,",opensource,ruby,web,framework,application,written,rails",,,",opensource,ruby,framework,application,written,rails",,,",ruby,rails",,,",application,app",,,,,,
presidio,",aware,data,service,customizable,protection,context,pluggable,pii,anonymization,text,https://akams/presidio",,,",aware,data,customizable,protection,context,pluggable,pii,anonymization,text,https://akams/presidio",,,",aware,data,customizable,protection,context,pluggable,pii,anonymization,text,https://akams/presidio",,,",context,pluggable,pii,anonymization,text,https://akams/presidio",,,",http,/",,,,,,
java,",programming,language,objectoriented,java,concurrent,classbased",,,",programming,language,objectoriented,java,concurrent,classbased",,,",programming,language,objectoriented,java,concurrent,classbased",,,",programming,objectoriented,java,concurrent,classbased",,,\N,,,,,,
OmniSci Enterprise Edition BYOL 4.8,",data,big,analytics,omnisci,pioneer,gpuaccelerated,redefining,speed,scale,querying,visualization",,,",big,analytics,omnisci,pioneer,gpuaccelerated,redefining,speed,scale,querying,visualization",,,",big,omnisci,pioneer,gpuaccelerated,redefining,speed,scale,querying,visualization",,,,,,",data",,,,,,
MarkLogic ,",database,marklogic,generation,multimodel,enterprise,features,acid,transactions,security,backup,recovery",,,",marklogic,generation,multimodel,features,acid,transactions,security,backup,recovery",,,",marklogic,generation,multimodel,features,acid,transactions,backup,recovery",,,",marklogic,transactions,backup,recovery",,,",data,base,database",,,,,,
scratch,",building,explicitly,scratch",,,",building,explicitly,scratch",,,",building,explicitly,scratch",,,",building,explicitly,scratch",,,",mage,ci",,,,,,
docker,",docker!",,,",docker!",,,",docker!",,,",docker!",,,\N,,,,,,
Oryx node-8.9,",nodejs,host,built,web,artifacts,entry,point,89",,,",nodejs,host,built,artifacts,entry,point,89",,,",89",,,",89",,,",web,host,artifacts,entry,point.,nodejs,os,ui,node,js",,,,,,
AI for Earth Blob R,",blob,ai,earth,mount",,,",blob,ai,earth,mount",,,",blob,ai,earth,mount",,,",blob,ai,earth,mount",,,",mage,ci",,,,,,
Oryx node-10.1,",nodejs,101,host,built,web,artifacts,entry,point",,,",nodejs,101,host,built,artifacts,entry,point",,,",101",,,",101",,,",web,host,artifacts,entry,point.,nodejs,os,ui,node,js",,,,,,
clearlinux,",build,linux,os,architecture,intel",,,",build,linux,os,architecture,intel",,,",build,linux,os,architecture,intel",,,",build,linux,os,architecture,intel",,,",build,ui",,,,,,
Edge Camera Capture,",edge,iot,module,camera,capture",,,",edge,iot,module,camera,capture",,,",edge,iot,module,camera,capture",,,",edge,iot,module,camera,capture",,,",module,reading",,,,,,
Azure Devops Vsts Cli,",microsoft,services,cli,studio,visual,team",,,",microsoft,services,cli,studio,visual,team",,,",microsoft,services,cli,studio,visual,team",,,",microsoft,services,cli,studio,visual,team",,,",os,ros",,,,,,
Java SE Headless JRE,",microsoft,enterprise,azul,builds,openjdk,zulu,â€�?headless,jre",,,",microsoft,azul,builds,openjdk,zulu,â€�?headless,jre",,,",azul,builds,zulu,â€�?headless,jre",,,,,,",os,ros",,,,,,
Presidio Datasink,",presidio,datasink",,,",presidio,datasink",,,",presidio,datasink",,,",presidio,datasink",,,",data",,,,,,
Presidio OCR,",presidio,ocr",,,",presidio,ocr",,,",presidio,ocr",,,",presidio,ocr",,,\N,,,,,,
OSA CLI,",azure,preview,openshift,cli",,,",azure,preview,openshift,cli",,,",azure,preview,openshift,cli",,,",preview,openshift,cli",,,",review,code,issue",,,,,,
Software AG Terracotta Server OSS,",server,open,source,terracotta,oss",,,",server,open,source,terracotta,oss",,,",server,open,source,terracotta,oss",,,",terracotta,oss",,,",mage,ci",,,,,,
Sematext Agent - Simple Monitoring for Docker,",metrics,events,monitor",,,",metrics,events,monitor",,,",metrics,events,monitor",,,",metrics,events,monitor",,,",ai",,,,,,
Mcr Hello World Nireissssssss,",testing,mcr,customer",,,",testing,mcr,customer",,,",testing,mcr,customer",,,",testing,mcr,customer",,,",customer,custom",,,,,,
NexentaStor 5.x CSI Driver,",kubernetes,nexentastor,5x,csi,driver",,,",kubernetes,nexentastor,5x,csi,driver",,,",kubernetes,nexentastor,5x,csi,driver",,,",kubernetes,nexentastor,5x,csi,driver",,,",5",,,,,,
Aivision Visionsamplemodule,",module,ai,vision,peabody",,,",module,ai,vision,peabody",,,",module,ai,vision,peabody",,,",module,ai,vision,peabody",,,",vision",,,,,,
amazonlinux,",applications,linux,environment,highperformance,secure,amazon,stable,execution",,,",applications,linux,environment,highperformance,secure,amazon,stable,execution",,,",linux,environment,highperformance,secure,amazon,stable,execution",,,",environment,secure,amazon,stable,execution",,,",application,app",,,,,,
ubuntu,",free,software,based,linux,ubuntu,debianbased,operating",,,",free,software,based,linux,ubuntu,debianbased,operating",,,",free,software,based,linux,ubuntu,debianbased,operating",,,",ubuntu,debianbased,operating",,,",base,based",,,,,,
.NET Framework Runtime,",net,framework,runtime",,,",net,framework,runtime",,,",net,framework,runtime",,,",net,framework,runtime",,,",mage,ci",,,,,,
geonetwork,",geonetwork,foss,catalog,spatially,referenced,resources",,,",geonetwork,foss,catalog,spatially,referenced,resources",,,",geonetwork,foss,catalog,spatially,referenced,resources",,,",geonetwork,foss,catalog,spatially,referenced,resources",,,",open,source",,,,,,
Oracle Java 8 SE (Server JRE),",server,oracle,java,jre,8,se",,,",server,oracle,java,jre,8,se",,,",server,oracle,java,jre,8,se",,,",oracle,java,jre,8,se",,,\N,,,,,,
Oryx node-4.5,",nodejs,host,built,web,artifacts,entry,point,45",,,",nodejs,host,built,artifacts,entry,point,45",,,",45",,,",45",,,",web,host,artifacts,entry,point.,nodejs,os,ui,node,js",,,,,,
Oracle Web Tier,",web,oracle,tier",,,",web,oracle,tier",,,",web,oracle,tier",,,",web,oracle,tier",,,\N,,,,,,
Multicontainer WordPress,",service,app,docs,samples,multicontainer,wordpress,quickstart,tutorial",,,",service,app,docs,samples,multicontainer,wordpress,quickstart,tutorial",,,",app,docs,samples,multicontainer,wordpress,quickstart,tutorial",,,",docs,samples,multicontainer,wordpress,quickstart,tutorial",,,",build,ui",,,,,,
httpd,",server,project,apache,http",,,",server,project,apache,http",,,",server,project,apache,http",,,",server,project,apache,http",,,\N,,,,,,
Packetbeat,",data,lightweight,shipper,network",,,",data,lightweight,shipper,network",,,",data,lightweight,shipper,network",,,",data,lightweight,shipper,network",,,",shipper,ship,ip",,,,,,
Presidio Anonymizer,",presidio,anonymizer",,,",presidio,anonymizer",,,",presidio,anonymizer",,,",presidio,anonymizer",,,\N,,,,,,
nginx,",build,nginx",,,",build,nginx",,,",build,nginx",,,",build,nginx",,,",build,ui",,,,,,
